id,date,time,anon_name,tweet,hashtags,sentiment_label,sentiment_score,emotion_label,emotion_score,Name
661303802.0,2008-01-31,04:57:17,source-001,تعطل خدمات الإتترنت في مصر والهند ودول خليجية  http://tinyurl.com/33bjy6,[],negative,0.9433473944664,sadness,0.3501876592636108,1271_والهند_الاشتباك_قواتهما_الحدودي
661303692.0,2008-01-31,04:57:15,source-001,انتصارات لمانشستر وتشلسي وأرسنال وخسارة ليفربول  http://tinyurl.com/3c6brg,[],neutral,0.92879718542099,sadness,0.5067358613014221,-1_أردوغان_الأسد_الشعب_ترمب
661303572.0,2008-01-31,04:57:12,source-001,فرنسا وألمانيا تجددان رفضهما انضمام تركيا إلى الاتحاد  http://tinyurl.com/353uq8,[],neutral,0.9866361021995544,anger,0.3377180099487304,52_ميركل_المسيحي_اللجوء_ألمانيا
661303462.0,2008-01-31,04:57:10,source-001,الأميركيون غاضبون من خليل زاد للقائه مسؤولين إيرانيين  http://tinyurl.com/ysmczq,[],negative,0.9856507182121276,anger,0.5990331768989563,3065_إيرانيين_مسؤولين_للقاء_اجتماعات
661303252.0,2008-01-31,04:57:07,source-001,نقابيون ومهنيون يناشدون العالم الدعم لفك حصار غزة  http://tinyurl.com/yp4mym,[],neutral,0.8380382657051086,anger,0.4167152047157287,-1_أردوغان_الأسد_الشعب_ترمب
661023772.0,2008-01-31,03:27:56,source-001,حماس تهاجم عباس وتتهمه بمحاولة إفشال لقاء القاهرة  http://tinyurl.com/2j7dt5,[],negative,0.681632399559021,anger,0.910606861114502,35_المصالحة_هنية_حماس_وحماس
661023662.0,2008-01-31,03:27:54,source-001,العثور على جثث 13 جندياً باكستانيا اختطفوا قبل أسبوع  http://tinyurl.com/2zzhnt,[],neutral,0.8353015780448914,disgust,0.2814732193946838,3540_مروري_باكستانيا_آسيويا_الإمارتية
661023562.0,2008-01-31,03:27:52,source-001,أحد زعماء تمرد دارفور يرفض وساطة البعثة الأممية الأفريقية  http://tinyurl.com/36pqrk,[],neutral,0.7698934674263,anger,0.8820563554763794,572_دارفور_اليوناميد_يوناميد_المختلطة
661023472.0,2008-01-31,03:27:51,source-001,برلماني بريطاني يطالب بمنح رخصة عمل للعراقي أكرم  http://tinyurl.com/3aahbo,[],neutral,0.9716451168060304,anger,0.5020261406898499,4634_عفيف_أكرم_عموري_آسيوي
660735082.0,2008-01-31,01:57:33,source-001,مثقفون يحتجون لجعل إسرائيل ضيف شرف معرض كتاب  http://tinyurl.com/33tzca,[],neutral,0.9740411639213562,anger,0.6447475552558899,214_للكتاب_الكتاب_معرض_بمعرض
